mmsi,ship_name,event_type,start,end,lat,lon,duration_hrs,confidence,port_id,port_name,port_flag,eez,avg_speed_kn,dist_from_shore_km
314109000,NORTH STAR,port_visit,2025-10-03 10:41:53+00:00,2025-10-13 14:26:36+00:00,25.3676,56.5974,243.74527777777777,3,are-khorfakkan,KHOR FAKKAN,ARE,United Arab Emirates,,17.0
314109000,NORTH STAR,loitering,2025-10-13 16:59:07+00:00,2025-10-14 11:59:00+00:00,25.6791,56.9002,18.99805555555555,,,,,Iran,0.12685070974056267,41.35135171962442
314109000,NORTH STAR,port_visit,2025-10-16 13:42:23+00:00,2025-10-18 12:59:17+00:00,29.5643,48.9083,47.281666666666666,4,irq-al-basrahoilterminal,,IRQ,Iran,,50.0
314109000,NORTH STAR,loitering,2025-10-18 17:56:30+00:00,2025-10-21 03:58:08+00:00,29.2357,49.3142,58.02722222222221,,,,,EEZ:8357,0.05361439271227297,87.27486744085616
314109000,NORTH STAR,port_visit,2025-10-23 09:58:16+00:00,2025-10-24 11:34:35+00:00,25.2867,56.5858,25.60527777777778,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,22.0
314109000,NORTH STAR,port_visit,2025-10-24 11:41:16+00:00,2025-10-26 08:14:18+00:00,25.1466,56.5533,44.550555555555555,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,20.0
314109000,NORTH STAR,port_visit,2025-10-26 08:28:50+00:00,2025-10-28 01:34:14+00:00,25.1892,56.3844,41.09,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,2.0
314109000,NORTH STAR,port_visit,2025-10-28 02:49:12+00:00,2025-10-28 16:52:43+00:00,25.1652,56.5806,14.05861111111111,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,23.0
314109000,NORTH STAR,port_visit,2025-10-30 21:05:07+00:00,2025-11-01 23:49:43+00:00,29.5643,48.9083,50.74333333333333,4,irq-al-basrahoilterminal,,IRQ,Iran,,50.0
314109000,NORTH STAR,port_visit,2025-11-06 08:39:56+00:00,2025-11-08 22:54:02+00:00,25.2966,56.5858,62.235,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,22.0
314109000,NORTH STAR,port_visit,2025-11-08 23:07:58+00:00,2025-11-10 15:34:57+00:00,25.1727,56.362,40.44972222222222,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,2.0
314109000,NORTH STAR,port_visit,2025-11-12 22:50:31+00:00,2025-11-14 23:19:12+00:00,29.5643,48.9083,48.47805555555556,4,irq-al-basrahoilterminal,,IRQ,Iran,,50.0
314109000,NORTH STAR,loitering,2025-11-15 09:59:53+00:00,2025-11-19 18:53:40+00:00,29.0885,49.7172,104.89638888888891,,,,,Iran,0.10731460152170445,51.726636910783554
314109000,NORTH STAR,port_visit,2025-11-21 23:55:02+00:00,2025-11-23 15:00:21+00:00,25.1466,56.5533,39.08861111111111,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,20.0
314109000,NORTH STAR,port_visit,2025-11-23 15:14:01+00:00,2025-11-25 03:25:37+00:00,25.1727,56.362,36.193333333333335,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,2.0
314109000,NORTH STAR,port_visit,2025-11-28 00:18:06+00:00,2025-11-30 04:53:29+00:00,29.5643,48.9083,52.58972222222222,4,irq-al-basrahoilterminal,,IRQ,Iran,,50.0
314109000,NORTH STAR,loitering,2025-11-30 15:57:37+00:00,2025-12-07 16:59:42+00:00,29.0883,49.7212,169.03472222222223,,,,,Iran,0.05723178690057189,51.67532593002183
314109000,NORTH STAR,port_visit,2025-12-09 21:00:46+00:00,2025-12-14 19:43:37+00:00,25.3676,56.5974,118.71416666666667,4,are-khorfakkan,KHOR FAKKAN,ARE,United Arab Emirates,,23.0
314109000,NORTH STAR,loitering,2025-12-20 10:59:21+00:00,2025-12-21 07:53:38+00:00,12.9231,73.6982,20.904722222222222,,,,,India,1.1852225411470423,114.8053556468964
314109000,NORTH STAR,port_visit,2026-01-07 03:22:34+00:00,2026-01-08 21:25:23+00:00,1.2663,103.4198,42.04694444444444,4,mys-tanjungpelepas,TANJUNG PELEPAS,MYS,Malaysia,,6.0
314109000,NORTH STAR,port_visit,2026-01-23 20:28:36+00:00,2026-01-25 21:04:42+00:00,29.5643,48.9083,48.60166666666667,4,irq-al-basrahoilterminal,,IRQ,Iran,,50.0
314109000,NORTH STAR,loitering,2026-01-26 11:55:10+00:00,2026-01-28 02:59:15+00:00,29.0585,49.7873,39.06805555555555,,,,,Iran,0.06350204396712388,51.39268167735042
314109000,NORTH STAR,port_visit,2026-01-30 10:42:16+00:00,2026-02-01 04:51:09+00:00,25.1466,56.5533,42.14805555555556,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,20.0
314109000,NORTH STAR,port_visit,2026-02-01 05:08:07+00:00,2026-02-02 19:01:45+00:00,25.1892,56.3844,37.89388888888889,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,2.0
314109000,NORTH STAR,port_visit,2026-02-02 21:25:01+00:00,2026-02-09 10:28:26+00:00,25.3403,56.5922,157.05694444444444,4,are-khorfakkan,KHOR FAKKAN,ARE,United Arab Emirates,,22.0
314109000,NORTH STAR,port_visit,2026-02-12 02:03:07+00:00,2026-02-14 03:32:54+00:00,29.5643,48.9083,49.49638888888889,4,irq-al-basrahoilterminal,,IRQ,Iran,,50.0
314109000,NORTH STAR,loitering,2026-02-14 14:59:29+00:00,2026-02-14 16:59:27+00:00,29.1033,49.6751,1.9994444444444444,,,,,Iran,1.9948597175845428,61.64262159934049
314109000,NORTH STAR,loitering,2026-02-14 17:57:03+00:00,2026-02-18 19:59:07+00:00,29.0641,49.7663,98.03444444444445,,,,,Iran,0.07379282121635558,51.59873814343674
314109000,NORTH STAR,port_visit,2026-02-21 03:57:25+00:00,2026-02-22 08:39:43+00:00,25.1466,56.5533,28.705,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,20.0
314109000,NORTH STAR,port_visit,2026-02-22 08:53:58+00:00,2026-02-24 00:37:36+00:00,25.1892,56.3844,39.727222222222224,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,2.0
314109000,NORTH STAR,port_visit,2026-02-28 02:28:32+00:00,2026-02-28 19:58:56+00:00,29.5643,48.9083,17.506666666666668,4,irq-al-basrahoilterminal,,IRQ,Iran,,50.0
314109000,NORTH STAR,port_visit,2026-03-15 11:56:20+00:00,2026-03-15 12:44:35+00:00,24.9982,55.0481,0.8041666666666667,4,are-jebelali,JEBEL ALI,ARE,United Arab Emirates,,0.0
314109000,NORTH STAR,port_visit,2026-03-15 13:15:40+00:00,2026-03-15 17:45:13+00:00,25.511,55.2619,4.4925,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,20.0
314109000,NORTH STAR,loitering,2026-03-20 19:58:19+00:00,2026-04-10 02:57:18+00:00,25.7685,56.8986,486.98305555555555,,,,,Iran,0.059276446522986824,39.003943366147006
