mmsi,ship_name,event_type,start,end,lat,lon,duration_hrs,confidence,port_id,port_name,port_flag,eez,avg_speed_kn,dist_from_shore_km
667001287,TIBURON,port_visit,2025-10-23 16:35:32+00:00,2025-10-28 07:02:45+00:00,22.5523,69.6421,110.45361111111112,4,ind-vadinar,,IND,India,,10.0
667001287,TIBURON,port_visit,2025-11-07 06:20:01+00:00,2025-11-08 06:35:04+00:00,29.7248,32.5846,24.250833333333333,4,egy-suezsouthanchorage,SUEZ SOUTH ANCHORAGE,EGY,EEZ:8490,,9.0
667001287,TIBURON,port_visit,2025-12-03 07:55:16+00:00,2025-12-05 00:52:35+00:00,60.3043,28.7486,40.95527777777778,4,rus-primorsk,,RUS,EEZ:5690,,2.0
667001287,TIBURON,port_visit,2025-12-05 01:09:24+00:00,2025-12-05 16:17:36+00:00,60.0288,28.4431,15.136666666666667,4,rus-primorsk,,RUS,EEZ:5690,,3.0
667001287,TIBURON,port_visit,2025-12-05 18:31:48+00:00,2025-12-07 15:07:47+00:00,59.7829,28.4077,44.59972222222222,4,rus-vistino,VISTINO,RUS,EEZ:5690,,1.0
667001287,TIBURON,port_visit,2025-12-25 07:09:32+00:00,2025-12-26 04:46:45+00:00,31.4718,32.3028,21.620277777777776,4,egy-portsaid,PORT SAID,EGY,EEZ:8490,,21.0
667001287,TIBURON,loitering,2026-01-02 15:54:50+00:00,2026-01-03 09:43:36+00:00,14.9201,56.1469,17.812777777777775,,,,,Oman,1.2073384949563737,260.6427593191046
667001287,TIBURON,loitering,2026-01-06 15:51:17+00:00,2026-01-06 21:07:21+00:00,14.939,55.5517,5.267777777777778,,,,,Oman,1.3931004009021264,234.0127082893904
667001287,TIBURON,loitering,2026-01-10 03:53:42+00:00,2026-01-10 05:57:32+00:00,15.0915,55.1545,2.063888888888889,,,,,Oman,1.5361721526172707,208.50605652759083
667001287,TIBURON,loitering,2026-01-12 08:53:28+00:00,2026-01-13 08:24:35+00:00,15.1002,55.8208,23.518611111111113,,,,,Oman,0.5679753936716502,225.9150975252652
667001287,TIBURON,loitering,2026-01-13 15:58:35+00:00,2026-01-13 18:06:05+00:00,14.9466,56.5654,2.125,,,,,Oman,0.3540164319811095,281.8620437065071
667001287,TIBURON,loitering,2026-01-17 04:57:57+00:00,2026-01-23 17:58:29+00:00,21.9539,68.738,157.0088888888889,,,,,India,0.04235496857823421,37.9359086038915
667001287,TIBURON,port_visit,2026-01-24 03:25:54+00:00,2026-02-04 02:23:57+00:00,22.5507,69.6306,262.9675,4,ind-vadinar,,IND,India,,10.0
667001287,TIBURON,port_visit,2026-02-13 08:53:35+00:00,2026-02-14 05:05:00+00:00,29.7884,32.5585,20.190277777777776,4,egy-suezsouthanchorage,SUEZ SOUTH ANCHORAGE,EGY,EEZ:8490,,6.0
667001287,TIBURON,port_visit,2026-03-03 14:27:22+00:00,2026-03-08 19:14:56+00:00,60.0169,27.0629,124.79277777777777,4,rus-rus-260,,RUS,EEZ:5690,,2.0
667001287,TIBURON,port_visit,2026-03-09 03:46:30+00:00,2026-03-12 03:18:21+00:00,60.3179,28.7318,71.53083333333333,4,rus-primorsk,,RUS,EEZ:5690,,1.0
667001287,TIBURON,port_visit,2026-03-12 03:32:43+00:00,2026-03-19 00:15:39+00:00,60.0288,28.4431,164.71555555555557,4,rus-primorsk,,RUS,EEZ:5690,,3.0
