mmsi,ship_name,event_type,start,end,lat,lon,duration_hrs,confidence,port_id,port_name,port_flag,eez,avg_speed_kn,dist_from_shore_km
212851000,DUBAI VENTURE,port_visit,2025-08-31 23:18:48+00:00,2025-09-01 13:22:07+00:00,25.1404,54.8857,14.055277777777778,4,are-jebelali,JEBEL ALI,ARE,United Arab Emirates,,20
212851000,DUBAI VENTURE,port_visit,2025-09-01 13:47:28+00:00,2025-09-03 08:20:07+00:00,25.0299,55.0466,42.54416666666667,4,are-jebelali,JEBEL ALI,ARE,United Arab Emirates,,2
212851000,DUBAI VENTURE,port_visit,2025-09-03 11:03:17+00:00,2025-09-04 00:15:40+00:00,25.4232,55.2617,13.206388888888888,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,13
212851000,DUBAI VENTURE,port_visit,2025-09-04 03:55:08+00:00,2025-09-04 22:40:22+00:00,25.9914,55.9895,18.753888888888888,4,are-minasaqr,MINA SAQR,ARE,United Arab Emirates,,6
212851000,DUBAI VENTURE,port_visit,2025-09-05 05:54:08+00:00,2025-09-05 08:49:47+00:00,25.1366,54.8863,2.9275,4,are-jebelali,JEBEL ALI,ARE,United Arab Emirates,,20
212851000,DUBAI VENTURE,port_visit,2025-09-05 10:31:50+00:00,2025-09-06 22:44:15+00:00,25.0299,55.0466,36.206944444444446,4,are-jebelali,JEBEL ALI,ARE,United Arab Emirates,,2
212851000,DUBAI VENTURE,port_visit,2025-09-07 01:08:08+00:00,2025-09-08 07:28:52+00:00,25.4232,55.2617,30.345555555555556,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,13
212851000,DUBAI VENTURE,port_visit,2025-09-08 13:27:47+00:00,2025-09-10 13:26:29+00:00,25.0299,55.0466,47.97833333333333,4,are-jebelali,JEBEL ALI,ARE,United Arab Emirates,,2
212851000,DUBAI VENTURE,port_visit,2025-09-10 15:57:55+00:00,2025-09-12 04:46:00+00:00,25.4175,55.2626,36.80138888888889,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,13
212851000,DUBAI VENTURE,port_visit,2025-09-12 08:44:45+00:00,2025-09-13 01:27:04+00:00,25.9835,56.0007,16.705277777777777,4,are-minasaqr,MINA SAQR,ARE,United Arab Emirates,,5
212851000,DUBAI VENTURE,port_visit,2025-09-13 08:59:28+00:00,2025-09-13 21:02:18+00:00,25.1404,54.8857,12.047222222222222,4,are-jebelali,JEBEL ALI,ARE,United Arab Emirates,,20
