sar_id,sar_timestamp,sar_lat,sar_lon,mmsi,ship_name,vessel_type,flag,ais_lat,ais_lon,matched_mmsi,distance_km,time_gap_seconds,classification
126,2026-03-19 02:07:07+00:00,25.5,56.52000045776367,,,,,25.65,56.27000045776367,461000088.0,30.115715296851885,,likely_spoofed
125,2026-03-19 02:07:07+00:00,25.65,56.93000030517578,,,,,25.66,56.9900016784668,669613000.0,6.1160583678891545,,discrepant
124,2026-03-19 02:07:07+00:00,25.88,55.91999816894531,,,,,25.96,55.93999862670898,408968000.0,9.117716311903468,,discrepant
123,2026-03-19 02:07:07+00:00,25.84,55.66999816894531,,,,,25.81,55.65999984741211,408687000.0,3.4827250278997477,,discrepant
122,2026-03-19 02:07:07+00:00,25.95,56.95000076293945,,,,,25.96,56.91999816894531,655150434.0,3.199115812234319,,discrepant
121,2026-03-19 02:07:07+00:00,26.98,56.75,,,,,26.98,56.34999847412109,422231100.0,39.637397548318006,,likely_spoofed
120,2026-03-19 02:07:07+00:00,26.12,57.15999984741211,,,,,25.98,57.04999923706055,750917000.0,19.05512715955859,,discrepant
119,2026-03-19 02:07:07+00:00,25.62,56.43999862670898,,,,,25.65,56.27000045776367,461000088.0,17.36572045544729,,discrepant
118,2026-03-19 02:07:07+00:00,25.77,55.900001525878906,,,,,25.8,55.95000076293945,228323800.0,6.015731517331806,,discrepant
117,2026-03-19 02:07:07+00:00,25.69,56.9900016784668,,,,,25.66,56.9900016784668,669613000.0,3.3358524070061333,,discrepant
115,2026-03-19 02:07:07+00:00,26.15,56.630001068115234,,,,,26.0,56.66999816894531,352003351.0,17.15098549536788,,discrepant
114,2026-03-19 02:07:07+00:00,25.78,56.970001220703125,,,,,25.77,56.95000076293945,620800028.0,2.2906756949198432,,discrepant
113,2026-03-19 02:07:07+00:00,25.89,57.16999816894531,,,,,25.98,57.04999923706055,750917000.0,15.624951362452421,,discrepant
112,2026-03-19 02:07:07+00:00,26.97,55.790000915527344,,,,,26.97,55.77999877929688,671399100.0,0.991231308570735,,matched
111,2026-03-19 02:07:07+00:00,25.99,55.77999877929688,,,,,26.0,55.77999877929688,538002227.0,1.1119508023356135,,matched
109,2026-03-19 02:07:07+00:00,26.11,56.54999923706055,,,,,26.0,56.66999816894531,352003351.0,17.126081271242473,,discrepant
108,2026-03-19 02:07:07+00:00,25.83,55.93000030517578,,,,,25.8,55.95000076293945,228323800.0,3.890496886959418,,discrepant
107,2026-03-19 02:07:07+00:00,26.21,56.650001525878906,,,,,26.33,56.59999847412109,419956221.0,14.244477511403128,,discrepant
106,2026-03-19 02:07:07+00:00,26.96,55.70000076293945,,,,,26.97,55.72999954223633,422012400.0,3.174205225943549,,discrepant
105,2026-03-19 02:07:07+00:00,26.93,56.86000061035156,,,,,26.98,56.34999847412109,422231100.0,50.85373884848574,,likely_spoofed
104,2026-03-19 02:07:07+00:00,26.08,55.90999984741211,,,,,26.08,55.90999984741211,419531000.0,0.0,,matched
103,2026-03-19 02:07:07+00:00,25.67,56.97999954223633,,,,,25.66,56.9900016784668,669613000.0,1.4971186446914013,,matched
102,2026-03-19 02:07:07+00:00,25.76,56.959999084472656,,,,,25.77,56.95000076293945,620800028.0,1.4962991674133161,,matched
66,2026-03-19 02:07:07+00:00,25.74,56.880001068115234,,,,,25.76,56.900001525878906,629009370.0,2.9930232822639917,,discrepant
65,2026-03-19 02:07:07+00:00,25.53,56.47999954223633,,,,,25.65,56.27000045776367,461000088.0,24.931580874568525,,likely_spoofed
138,2026-03-19 02:07:07+00:00,25.5,56.41999816894531,,,,,25.65,56.27000045776367,461000088.0,22.462056594640828,,likely_spoofed
63,2026-03-19 02:07:07+00:00,25.63,57.0,,,,,25.66,56.9900016784668,669613000.0,3.4831611032571277,,discrepant
32,2026-03-19 02:07:07+00:00,26.1,56.9900016784668,,,,,25.98,57.04999923706055,750917000.0,14.627952948484984,,discrepant
31,2026-03-19 02:07:07+00:00,25.66,56.91999816894531,,,,,25.71,56.959999084472656,620800253.0,6.854065382176112,,discrepant
64,2026-03-19 02:07:07+00:00,26.29,56.970001220703125,,,,,25.98,57.04999923706055,750917000.0,35.383444179987826,,likely_spoofed
28,2026-03-19 02:07:07+00:00,25.76,56.900001525878906,,,,,25.76,56.900001525878906,629009370.0,0.0,,matched
27,2026-03-19 02:07:07+00:00,25.66,56.959999084472656,,,,,25.66,56.9900016784668,669613000.0,3.0071291379727296,,discrepant
25,2026-03-19 02:07:07+00:00,25.85,57.27999877929688,,,,,25.98,57.04999923706055,750917000.0,27.16798783743796,,likely_spoofed
24,2026-03-19 02:07:07+00:00,25.65,56.619998931884766,,,,,25.75,56.77000045776367,511101408.0,18.69566216645368,,discrepant
23,2026-03-19 02:07:07+00:00,26.93,56.84999847412109,,,,,26.98,56.34999847412109,422231100.0,49.8684378595903,,likely_spoofed
22,2026-03-19 02:07:07+00:00,25.82,55.59000015258789,,,,,25.81,55.65999984741211,408687000.0,7.0945352414851985,,discrepant
21,2026-03-19 02:07:07+00:00,25.64,56.68000030517578,,,,,25.75,56.77000045776367,511101408.0,15.196459836228135,,discrepant
19,2026-03-19 02:07:07+00:00,26.86,56.66999816894531,,,,,26.98,56.34999847412109,422231100.0,34.41840828976659,,likely_spoofed
18,2026-03-19 02:07:07+00:00,26.01,55.7599983215332,,,,,26.0,55.77999877929688,538002227.0,2.287268408032993,,discrepant
17,2026-03-19 02:07:07+00:00,25.62,56.93999862670898,,,,,25.66,56.9900016784668,669613000.0,6.701421934436205,,discrepant
15,2026-03-19 02:07:07+00:00,26.94,56.4900016784668,,,,,26.98,56.34999847412109,422231100.0,14.571252972122227,,discrepant
14,2026-03-19 02:07:07+00:00,25.7,56.9900016784668,,,,,25.71,56.959999084472656,620800253.0,3.205063491985995,,discrepant
13,2026-03-19 02:07:07+00:00,25.96,56.900001525878906,355784000.0,YONG TAI,CARGO,PAN,25.96,56.91999816894531,655150434.0,1.9991740262910158,,discrepant
12,2026-03-19 02:07:07+00:00,26.12,56.63999938964844,,,,,26.0,56.66999816894531,352003351.0,13.67574943138374,,discrepant
11,2026-03-19 02:07:07+00:00,25.88,56.95000076293945,,,,,25.88,56.93000030517578,477204900.0,2.000912744533484,,discrepant
