mmsi,ship_name,event_type,start,end,lat,lon,duration_hrs,confidence,port_id,port_name,port_flag,eez,avg_speed_kn,dist_from_shore_km
341348002,MEHRAN 1,port_visit,2025-09-04 04:21:20+00:00,2025-09-17 22:18:18+00:00,31.1069,121.9209,329.94944444444445,3,chn-chn-433,CHN-433,CHN,EEZ:8486,,0.0
341348002,MEHRAN 1,port_visit,2025-09-18 03:28:06+00:00,2025-09-18 10:24:56+00:00,30.9093,122.5568,6.947222222222222,4,chn-shanghai,SHANGHAI,CHN,EEZ:8486,,10.0
341348002,MEHRAN 1,port_visit,2025-09-18 10:36:13+00:00,2025-09-18 17:57:35+00:00,30.7232,122.62,7.356111111111111,4,chn-shanghai,SHANGHAI,CHN,EEZ:8486,,6.0
341348002,MEHRAN 1,loitering,2025-09-19 09:59:20+00:00,2025-09-19 12:59:01+00:00,29.8221,122.952,2.99472222222222,,,,,EEZ:8486,1.065602001808802,37.566287353131656
341348002,MEHRAN 1,loitering,2025-09-19 13:59:02+00:00,2025-09-25 08:59:17+00:00,29.779,123.0337,139.004166666667,,,,,EEZ:8486,0.04633206900096664,46.031875213632865
341348002,MEHRAN 1,port_visit,2025-09-25 11:20:12+00:00,2025-09-26 04:31:00+00:00,29.7198,122.6418,17.18,4,chn-ningbo,NINGBO,CHN,EEZ:8486,,26.0
341348002,MEHRAN 1,port_visit,2025-10-22 17:23:16+00:00,2025-10-23 12:54:16+00:00,25.5626,55.2616,19.516666666666666,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,23.0
341348002,MEHRAN 1,port_visit,2025-10-23 13:17:56+00:00,2025-10-28 16:36:31+00:00,25.4232,55.2617,123.30972222222222,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,13.0
341348002,MEHRAN 1,port_visit,2025-11-03 09:02:33+00:00,2025-11-03 22:46:41+00:00,27.0255,56.3068,13.735555555555555,4,irn-bandarabbas,,IRN,Iran,,8.0
341348002,MEHRAN 1,port_visit,2025-11-03 23:00:27+00:00,2025-11-05 04:18:44+00:00,27.0978,56.0785,29.30472222222222,4,irn-rajaei,RAJAEI,IRN,Iran,,2.0
341348002,MEHRAN 1,port_visit,2025-11-05 04:31:44+00:00,2025-11-05 13:30:34+00:00,27.0873,56.1729,8.980555555555556,4,irn-bandarabbas,BANDAR ABBAS,IRN,Iran,,5.0
341348002,MEHRAN 1,port_visit,2025-11-06 01:41:11+00:00,2025-11-06 09:07:06+00:00,25.5626,55.2616,7.4319444444444445,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,23.0
341348002,MEHRAN 1,port_visit,2025-11-06 09:33:07+00:00,2025-11-06 11:20:40+00:00,25.4232,55.2617,1.7925,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,13.0
341348002,MEHRAN 1,port_visit,2025-11-06 12:04:53+00:00,2025-11-08 15:09:48+00:00,25.3032,55.3341,51.081944444444446,4,are-alhamriya,ALHAMRIYA,ARE,United Arab Emirates,,0.0
341348002,MEHRAN 1,port_visit,2025-11-09 07:26:19+00:00,2025-11-10 12:35:00+00:00,27.0255,56.3068,29.14472222222222,4,irn-bandarabbas,,IRN,Iran,,8.0
341348002,MEHRAN 1,port_visit,2025-11-10 12:48:39+00:00,2025-11-11 04:46:33+00:00,27.0978,56.0785,15.965,4,irn-rajaei,RAJAEI,IRN,Iran,,2.0
341348002,MEHRAN 1,port_visit,2025-11-11 04:52:46+00:00,2025-11-11 19:39:35+00:00,27.0873,56.1729,14.780277777777778,4,irn-bandarabbas,BANDAR ABBAS,IRN,Iran,,5.0
341348002,MEHRAN 1,port_visit,2025-11-12 07:20:30+00:00,2025-11-14 06:04:53+00:00,25.5626,55.2616,46.73972222222222,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,23.0
341348002,MEHRAN 1,port_visit,2025-11-14 06:36:02+00:00,2025-11-17 20:27:14+00:00,25.4175,55.2626,85.85333333333334,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,13.0
341348002,MEHRAN 1,port_visit,2025-11-18 13:00:02+00:00,2025-11-19 18:32:56+00:00,27.0329,56.2733,29.548333333333332,4,irn-bandarabbas,,IRN,Iran,,6.0
341348002,MEHRAN 1,port_visit,2025-11-20 07:32:58+00:00,2025-11-21 06:17:27+00:00,25.5626,55.2616,22.74138888888889,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,23.0
341348002,MEHRAN 1,port_visit,2025-11-21 06:27:45+00:00,2025-11-26 11:29:32+00:00,25.4339,55.2611,125.02972222222222,4,are-sharjah,SHARJAH,ARE,United Arab Emirates,,13.0
341348002,MEHRAN 1,port_visit,2025-11-27 05:32:15+00:00,2025-11-27 12:27:10+00:00,27.0412,56.3073,6.915277777777778,4,irn-bandarabbas,,IRN,Iran,,8.0
