mmsi,ship_name,event_type,start,end,lat,lon,duration_hrs,confidence,port_id,port_name,port_flag,eez,avg_speed_kn,dist_from_shore_km
314001097,NEW VENTURE,port_visit,2025-09-06 15:07:56+00:00,2025-09-07 13:31:10+00:00,1.3774,104.3585,22.38722222222222,4,mys-telokramunia,TELOK RAMUNIA,MYS,Malaysia,,9.0
314001097,NEW VENTURE,port_visit,2025-09-20 02:23:14+00:00,2025-09-21 04:12:32+00:00,25.3985,56.5971,25.821666666666665,4,are-khorfakkan,KHOR FAKKAN,ARE,United Arab Emirates,,23.0
314001097,NEW VENTURE,port_visit,2025-09-22 16:32:21+00:00,2025-09-27 03:31:06+00:00,27.2766,49.929,106.97916666666667,4,sau-aljubail,,SAU,Kuwait,,23.0
314001097,NEW VENTURE,port_visit,2025-10-18 00:31:15+00:00,2025-10-19 09:25:08+00:00,24.9269,119.0785,32.89805555555556,4,chn-quanzhou,QUANZHOU,CHN,EEZ:8486,,8.0
314001097,NEW VENTURE,port_visit,2025-10-26 09:31:12+00:00,2025-10-26 22:24:40+00:00,31.1255,122.8223,12.891111111111112,4,chn-shanghai,SHANGHAI,CHN,EEZ:8486,,32.0
314001097,NEW VENTURE,port_visit,2025-10-27 01:30:49+00:00,2025-10-30 19:23:48+00:00,31.2486,122.0576,89.88305555555556,4,chn-shanghai,SHANGHAI,CHN,EEZ:8486,,20.0
314001097,NEW VENTURE,port_visit,2025-11-18 19:46:10+00:00,2025-11-19 10:50:09+00:00,25.379,56.4971,15.06638888888889,4,are-khorfakkan,KHOR FAKKAN,ARE,United Arab Emirates,,13.0
314001097,NEW VENTURE,port_visit,2025-11-20 23:55:12+00:00,2025-11-24 03:07:17+00:00,27.2766,49.929,75.20138888888889,4,sau-aljubail,,SAU,Kuwait,,23.0
314001097,NEW VENTURE,loitering,2025-12-17 10:59:02+00:00,2025-12-18 20:59:27+00:00,29.53,122.6489,34.00694444444444,,,,,EEZ:8486,0.1118839656437841,41.0
314001097,NEW VENTURE,port_visit,2025-12-18 22:10:07+00:00,2025-12-20 06:59:24+00:00,29.7022,122.6307,32.82138888888889,4,chn-ningbo,NINGBO,CHN,EEZ:8486,,27.0
314001097,NEW VENTURE,port_visit,2025-12-20 21:19:55+00:00,2025-12-21 22:21:25+00:00,31.1255,122.8223,25.025,4,chn-shanghai,SHANGHAI,CHN,EEZ:8486,,32.0
314001097,NEW VENTURE,port_visit,2025-12-22 01:15:19+00:00,2025-12-25 20:26:48+00:00,31.2486,122.0576,91.1913888888889,4,chn-shanghai,SHANGHAI,CHN,EEZ:8486,,20.0
314001097,NEW VENTURE,port_visit,2026-01-01 22:46:58+00:00,2026-01-02 02:16:05+00:00,1.6012,104.5396,3.4852777777777777,4,mys-mys-2,,MYS,Malaysia,,30.0
314001097,NEW VENTURE,port_visit,2026-01-02 03:38:49+00:00,2026-01-02 19:17:26+00:00,1.3548,104.3467,15.643611111111111,4,mys-telokramunia,TELOK RAMUNIA,MYS,Malaysia,,9.0
314001097,NEW VENTURE,loitering,2026-01-27 12:59:05+00:00,2026-02-09 06:58:56+00:00,25.7898,56.8816,305.99749999999995,,,,,Iran,0.07680807803342092,40.000000000000014
314001097,NEW VENTURE,port_visit,2026-02-18 08:17:52+00:00,2026-02-22 05:24:14+00:00,25.3993,56.5807,93.1061111111111,4,are-khorfakkan,KHOR FAKKAN,ARE,United Arab Emirates,,21.0
314001097,NEW VENTURE,port_visit,2026-02-22 06:24:38+00:00,2026-02-24 14:51:54+00:00,25.6333,56.6542,56.45444444444445,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,31.0
314001097,NEW VENTURE,loitering,2026-03-06 20:18:25+00:00,2026-03-07 15:40:26+00:00,25.3646,57.0314,19.366944444444446,,,,,Iran,0.3365291788082118,56.993465831745155
314001097,NEW VENTURE,port_visit,2026-03-19 08:20:06+00:00,2026-03-24 05:18:47+00:00,25.6671,56.6648,116.97805555555556,4,are-fujairah,FUJAIRAH,ARE,United Arab Emirates,,32.0
