mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
370356000,LUCKY EILEEN,PAN,india_mangalore_dec2025_jan2026,2026-01-04 21:00:00+00:00,2026-01-12 16:00:00+00:00,187.0,187,0.995,12.92995,74.81979,4.452,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,4,prolonged_dwell_open_water,False
419000274,OCEAN HARMONY,IND,india_mangalore_dec2025_jan2026,2025-12-16 10:00:00+00:00,2025-12-24 02:00:00+00:00,184.0,185,1.0,12.93686,74.81816,3.146,prolonged,open_water,Jamnagar (Sikka) marine terminal,1185.37,False,False,4,prolonged_dwell_open_water,False
419000533,OCEAN ENDURANCE,IND,india_mangalore_dec2025_jan2026,2026-01-07 13:00:00+00:00,2026-01-14 23:00:00+00:00,178.0,177,0.989,12.92373,74.81164,4.532,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.36,False,False,4,prolonged_dwell_open_water,False
419956204,BLUE DAIMOND,IND,india_mangalore_dec2025_jan2026,2025-12-01 00:00:00+00:00,2025-12-08 00:00:00+00:00,168.0,169,1.0,12.86,74.83,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1193.6,False,False,3,,False
419017300,DCI DREDGE XVI,IND,india_mangalore_dec2025_jan2026,2026-01-08 02:00:00+00:00,2026-01-14 23:00:00+00:00,165.0,166,1.0,12.93036,74.82,1.072,extended,open_water,Jamnagar (Sikka) marine terminal,1186.1,False,False,3,,False
636093244,GASCHEM EUROPE,LBR,india_mangalore_dec2025_jan2026,2025-12-26 06:00:00+00:00,2026-01-02 02:00:00+00:00,164.0,165,1.0,12.96,74.6,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1172.72,False,False,3,,False
419000274,OCEAN HARMONY,IND,india_mangalore_dec2025_jan2026,2025-12-07 06:00:00+00:00,2025-12-14 01:00:00+00:00,163.0,164,1.0,12.93488,74.81762,3.42,extended,open_water,Jamnagar (Sikka) marine terminal,1185.54,False,False,3,,False
419801746,YOJAKA DHRUV,IND,india_mangalore_dec2025_jan2026,2026-01-02 16:00:00+00:00,2026-01-09 09:00:00+00:00,161.0,153,0.944,12.92974,74.80301,2.166,extended,open_water,Jamnagar (Sikka) marine terminal,1185.35,False,False,3,,False
419000274,OCEAN HARMONY,IND,india_mangalore_dec2025_jan2026,2025-12-31 10:00:00+00:00,2026-01-07 01:00:00+00:00,159.0,160,1.0,12.93731,74.81844,4.589,extended,open_water,Jamnagar (Sikka) marine terminal,1185.34,False,False,3,,False
419001902,BURAQ 11,IND,india_mangalore_dec2025_jan2026,2025-12-11 14:00:00+00:00,2025-12-17 23:00:00+00:00,153.0,154,1.0,12.91065,74.66513,3.988,extended,open_water,Jamnagar (Sikka) marine terminal,1180.72,False,False,3,,False
419000175,VISHVA EKTA,IND,india_mangalore_dec2025_jan2026,2025-12-16 10:00:00+00:00,2025-12-22 17:00:00+00:00,151.0,152,1.0,12.93,74.81987,1.07,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
419779000,SCI MUKTA,IND,india_mangalore_dec2025_jan2026,2025-12-31 10:00:00+00:00,2026-01-06 14:00:00+00:00,148.0,149,1.0,12.93584,74.81846,1.123,extended,open_water,Jamnagar (Sikka) marine terminal,1185.48,False,False,3,,False
256459000,PERISTIL,MLT,india_mangalore_dec2025_jan2026,2025-12-28 05:00:00+00:00,2026-01-03 02:00:00+00:00,141.0,142,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
419000177,VISHVA BANDHAN,IND,india_mangalore_dec2025_jan2026,2026-01-03 21:00:00+00:00,2026-01-09 17:00:00+00:00,140.0,141,1.0,12.92993,74.81972,3.404,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
419000533,OCEAN ENDURANCE,IND,india_mangalore_dec2025_jan2026,2025-12-22 10:00:00+00:00,2025-12-28 05:00:00+00:00,139.0,140,1.0,12.92429,74.81271,3.577,extended,open_water,Jamnagar (Sikka) marine terminal,1186.36,False,False,3,,False
357740000,CHEMROAD WING,PAN,india_mangalore_dec2025_jan2026,2025-12-29 08:00:00+00:00,2026-01-04 02:00:00+00:00,138.0,133,0.957,12.97992,74.60015,2.418,extended,open_water,Jamnagar (Sikka) marine terminal,1170.73,False,False,3,,False
419912968,AL  AQSA,IND,india_mangalore_dec2025_jan2026,2025-12-17 13:00:00+00:00,2025-12-23 03:00:00+00:00,134.0,114,0.844,12.86368,74.29553,1.824,extended,open_water,Jamnagar (Sikka) marine terminal,1168.7,False,False,3,,False
419000274,OCEAN HARMONY,IND,india_mangalore_dec2025_jan2026,2026-01-09 12:00:00+00:00,2026-01-14 23:00:00+00:00,131.0,132,1.0,12.93553,74.8172,1.962,extended,open_water,Jamnagar (Sikka) marine terminal,1185.45,False,False,3,,False
538004551,LMZ ARIEL,MHL,india_mangalore_dec2025_jan2026,2025-12-08 01:00:00+00:00,2025-12-13 11:00:00+00:00,130.0,131,1.0,12.92985,74.81947,4.415,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
