window,vessel_mmsi,timestamp,lat,lon,source,ship_name,episode_id,cluster_id,cluster_n_distinct_vessels,cluster_n_episodes,cluster_time_span_hours,cluster_radius_km,cluster_coherence_label
CRISIS,209305000,2026-03-21 01:00:00+00:00,25.65,55.790000915527344,traj_deviation_notable,AQUAMARINE,E0000,CRISIS-noise,0,0,,,noise
CRISIS,209305000,2026-03-21 02:00:00+00:00,25.72,55.79999923706055,traj_deviation_notable,AQUAMARINE,E0000,CRISIS-noise,0,0,,,noise
CRISIS,209305000,2026-03-21 03:00:00+00:00,25.72,55.79999923706055,traj_deviation_notable,AQUAMARINE,E0000,CRISIS-noise,0,0,,,noise
CRISIS,212761000,2026-03-20 09:00:00+00:00,25.95,56.060001373291016,traj_deviation_notable,COASTWAY,E0001,CRISIS-noise,0,0,,,noise
CRISIS,212761000,2026-03-20 21:00:00+00:00,25.95,56.060001373291016,traj_deviation_notable,COASTWAY,E0002,CRISIS-noise,0,0,,,noise
CRISIS,212851000,2026-03-22 04:00:00+00:00,25.59,55.58000183105469,traj_deviation_notable,DUBAI VENTURE,E0003,CRISIS-11,2,2,1.0,2.77,genuine_multivessel_coherence
CRISIS,212851000,2026-03-23 05:00:00+00:00,25.83,55.709999084472656,traj_deviation_high,DUBAI VENTURE,E0004,CRISIS-16,2,2,5.0,1.56,genuine_multivessel_coherence
CRISIS,212851000,2026-03-23 06:00:00+00:00,25.87,55.7599983215332,traj_deviation_notable,DUBAI VENTURE,E0004,CRISIS-16,2,2,5.0,1.56,genuine_multivessel_coherence
CRISIS,212851000,2026-03-23 07:00:00+00:00,25.96,55.95000076293945,traj_deviation_notable,DUBAI VENTURE,E0004,CRISIS-16,2,2,5.0,1.56,genuine_multivessel_coherence
CRISIS,212851000,2026-03-23 08:00:00+00:00,25.98,55.970001220703125,traj_deviation_notable,DUBAI VENTURE,E0004,CRISIS-16,2,2,5.0,1.56,genuine_multivessel_coherence
CRISIS,212851000,2026-03-23 10:00:00+00:00,26.02,56.02000045776367,traj_deviation_notable,DUBAI VENTURE,E0004,CRISIS-16,2,2,5.0,1.56,genuine_multivessel_coherence
CRISIS,244811000,2026-03-23 00:00:00+00:00,25.91,55.810001373291016,traj_deviation_high,COASTAL VICTORY,E0005,CRISIS-noise,0,0,,,noise
CRISIS,244811000,2026-03-23 06:00:00+00:00,25.96,55.84999847412109,traj_deviation_notable,COASTAL VICTORY,E0006,CRISIS-16,2,2,5.0,1.56,genuine_multivessel_coherence
CRISIS,244811000,2026-03-23 09:00:00+00:00,25.96,55.900001525878906,traj_deviation_notable,COASTAL VICTORY,E0006,CRISIS-16,2,2,5.0,1.56,genuine_multivessel_coherence
CRISIS,244811000,2026-03-23 10:00:00+00:00,25.96,55.88999938964844,traj_deviation_notable,COASTAL VICTORY,E0006,CRISIS-16,2,2,5.0,1.56,genuine_multivessel_coherence
CRISIS,246862000,2026-03-21 10:00:00+00:00,25.91,55.959999084472656,traj_deviation_notable,CRONUS,E0007,CRISIS-noise,0,0,,,noise
CRISIS,246862000,2026-03-21 12:00:00+00:00,25.95,56.060001373291016,traj_deviation_notable,CRONUS,E0007,CRISIS-noise,0,0,,,noise
